City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Santiago Del Estero,AR,-27.7951,-64.2615,73.9,43,1,8.81,clear sky
80,Severo-Kurilsk,RU,50.6789,156.125,33.26,90,81,26.19,light snow
81,Constitucion,CL,-35.3333,-72.4167,55.99,82,82,13.35,broken clouds
82,Norman Wells,CA,65.282,-126.8329,12.94,88,100,2.35,overcast clouds
83,Boueni,YT,-12.9025,45.0761,76.98,77,80,1.52,broken clouds
84,Ahipara,NZ,-35.1667,173.1667,70.9,56,0,6.13,clear sky
85,Yulara,AU,-25.2406,130.9889,78.64,17,67,8.05,broken clouds
86,Palmer,US,42.1584,-72.3287,36.01,55,98,3.0,overcast clouds
87,Berlevag,NO,70.8578,29.0864,13.8,70,100,5.28,light snow
88,Changde,CN,29.0464,111.6783,55.81,82,0,3.6,clear sky
89,Kapaa,US,22.0752,-159.319,79.12,66,0,9.22,clear sky
90,Bitung,ID,1.4451,125.1824,81.45,74,97,0.56,overcast clouds
91,Greymouth,NZ,-42.4667,171.2,69.15,58,9,3.31,clear sky
92,Hun,LY,29.1268,15.9477,66.16,10,12,12.26,few clouds
93,Ancud,CL,-41.8697,-73.8203,54.23,81,54,14.25,broken clouds
94,Arraial Do Cabo,BR,-22.9661,-42.0278,76.87,91,11,5.59,few clouds
95,Avarua,CK,-21.2078,-159.775,84.25,79,75,8.05,broken clouds
96,Srandakan,ID,-7.9386,110.2506,78.04,85,79,4.85,broken clouds
97,Vila Velha,BR,-20.3297,-40.2925,78.94,89,1,7.0,clear sky
98,Roma,US,43.2128,-75.4557,23.38,81,100,14.97,mist
99,Cidreira,BR,-30.1811,-50.2056,69.26,81,0,8.75,clear sky
100,Kahului,US,20.8947,-156.47,84.22,53,40,18.41,scattered clouds
101,Codrington,AU,-38.2667,141.9667,64.98,67,88,10.02,overcast clouds
102,Castro,BR,-24.7911,-50.0119,63.03,82,5,1.07,clear sky
103,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.65,98,93,1.39,overcast clouds
104,Saint-Leu,RE,-21.15,55.2833,76.68,84,60,4.05,broken clouds
105,Bilibino,RU,68.0546,166.4372,1.15,89,100,2.37,overcast clouds
106,Lima,PE,-12.0432,-77.0282,70.05,73,0,8.05,clear sky
107,Portland,US,45.5234,-122.6762,70.05,57,100,1.99,overcast clouds
108,Mola Di Bari,IT,41.0609,17.0873,53.91,83,99,8.93,light rain
109,Georgetown,MY,5.4112,100.3354,80.53,83,20,0.0,few clouds
110,Chokurdakh,RU,70.6333,147.9167,-5.31,95,73,5.32,broken clouds
111,Mahebourg,MU,-20.4081,57.7,76.24,72,5,6.89,clear sky
112,Sola,VU,-13.8833,167.55,82.94,72,98,12.06,overcast clouds
113,Baie-Saint-Paul,CA,47.4411,-70.4986,31.98,95,100,1.99,overcast clouds
114,Nanortalik,GL,60.1432,-45.2371,28.42,82,61,4.76,broken clouds
115,Truth Or Consequences,US,33.1284,-107.2528,82.63,5,0,19.57,clear sky
116,Spring Hill,US,28.4769,-82.5255,70.02,56,0,6.91,clear sky
117,Alice Springs,AU,-23.7,133.8833,78.35,19,1,1.14,clear sky
118,Mayo,US,38.8876,-76.5119,38.03,46,100,19.57,overcast clouds
119,Aklavik,CA,68.2191,-135.0107,4.89,83,93,2.64,overcast clouds
120,Padang,ID,-0.9492,100.3543,66.25,62,56,4.14,broken clouds
121,Srednekolymsk,RU,67.45,153.6833,9.77,76,41,3.65,scattered clouds
122,Cedar City,US,37.6775,-113.0619,65.39,12,0,18.41,clear sky
123,Itarema,BR,-2.9248,-39.9167,77.54,90,100,7.99,overcast clouds
124,Subtanjalla,PE,-14.0189,-75.7581,74.93,57,21,8.75,few clouds
125,Lavrentiya,RU,65.5833,-171.0,16.77,77,62,2.91,broken clouds
126,Karasjok,NO,69.4719,25.5112,-5.44,100,77,5.03,broken clouds
127,Cherskiy,RU,68.75,161.3,5.47,88,99,8.3,overcast clouds
128,Qui Nhon,VN,13.7667,109.2333,77.88,87,100,8.81,overcast clouds
129,Soyo,AO,-6.1349,12.3689,80.73,90,100,9.78,overcast clouds
130,Chabahar,IR,25.2919,60.643,77.34,71,0,14.47,clear sky
131,Bathsheba,BB,13.2167,-59.5167,77.54,73,98,16.11,overcast clouds
132,Kaitangata,NZ,-46.2817,169.8464,65.46,63,4,4.68,clear sky
133,Olafsvik,IS,64.8945,-23.7142,33.48,74,100,21.77,overcast clouds
134,Tiksi,RU,71.6872,128.8694,-1.39,94,98,4.14,overcast clouds
135,Jinchang,CN,38.4953,102.1739,46.53,19,68,3.13,broken clouds
136,Opuwo,NA,-18.0607,13.84,67.15,50,7,2.28,clear sky
137,New Norfolk,AU,-42.7826,147.0587,62.92,73,100,2.57,light rain
138,Bandarbeyla,SO,9.4942,50.8122,77.18,70,4,11.18,clear sky
139,Gospic,HR,44.5461,15.3747,35.29,67,0,1.19,clear sky
