City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Vincennes,FR,2022-03-21 01:01:09,48.85,2.4333,44.89,77,0,3.44
67,Kilembe,UG,2022-03-21 01:01:10,0.2,30.0,63.16,69,65,4.88
68,Monsenhor Gil,BR,2022-03-21 01:01:10,-5.5642,-42.6078,74.62,83,36,1.59
69,Sarny,UA,2022-03-21 01:01:11,51.338,26.6019,32.29,77,0,5.44
70,Atar,MR,2022-03-21 01:01:11,20.5169,-13.0499,71.8,25,0,7.4
71,Anzio,IT,2022-03-21 00:59:57,41.4853,12.6179,46.98,83,100,16.26
72,Verkhnyaya Inta,RU,2022-03-21 01:01:12,65.9811,60.3094,18.39,96,100,9.26
73,Ambanja,MG,2022-03-21 01:01:13,-13.6833,48.45,75.61,94,100,2.86
74,Povenets,RU,2022-03-21 01:01:13,62.8487,34.8262,25.83,92,65,3.94
75,Saint-Augustin,CA,2022-03-21 01:01:14,51.226,-58.6502,20.53,94,100,27.63
76,Kalmunai,LK,2022-03-21 01:01:14,7.4167,81.8167,78.17,85,6,2.73
77,Acari,PE,2022-03-21 01:01:14,-15.4311,-74.6158,73.44,73,32,3.24
78,Maragogi,BR,2022-03-21 01:01:15,-9.0122,-35.2225,79.34,81,78,7.36
79,Bilma,NE,2022-03-21 01:01:15,18.6853,12.9164,77.58,8,0,3.98
80,Visby,SE,2022-03-21 01:01:16,57.6409,18.296,32.22,86,0,6.91
81,Nuuk,GL,2022-03-21 01:01:16,64.1835,-51.7216,-12.19,97,15,6.46
82,Tutoia,BR,2022-03-21 01:01:17,-2.7619,-42.2744,76.3,90,99,5.06
83,Grand Gaube,MU,2022-03-21 01:01:17,-20.0064,57.6608,77.38,86,61,1.01
84,Cabedelo,BR,2022-03-21 01:01:18,-6.9811,-34.8339,80.35,79,61,10.85
85,Ilulissat,GL,2022-03-21 01:01:18,69.2167,-51.1,-5.78,54,0,1.14
86,Puerto Plata,DO,2022-03-21 01:02:18,19.7934,-70.6884,76.44,85,1,9.82
87,Chuy,UY,2022-03-21 01:02:19,-33.6971,-53.4616,64.36,47,90,11.56
